--- The Fellowship of the Ring ---,Polarity
Concerning Hobbits,2
Concerning Pipeweed,4
Of the Ordering of the Shire,0
Note on the Shire Records,1
A Long-expected Party,2.333333333
The Shadow of the Past,1.4
Three is Company,1.176470588
A Short Cut to Mushrooms,0.8
A Conspiracy Unmasked,2
The Old Forest,1.333333333
In the House of Tom Bombadil,2.4
Fog on the Barrow-downs,0.666666667
At the Sign of the Prancing Pony,2.363636364
Strider,1.8
A Knife in the Dark,0
Flight to the Ford,0.125
Many Meetings,1.5
The Council of Elrond,0.896551724
The Ring goes South,1.473684211
A Journey in the Dark,0.285714286
The Bridge of Khazad-dûm,0.222222222
Lothlórien,0.235294118
The Mirror of Galadriel,0.666666667
Farewell to Lórien,2.545454545
The Great River,0.307692308
The Breaking of the Fellowship,0.181818182
