,Polarity
Ainundalë,1.6666666666666667
Valaquenta,3.3333333333333335
Of the Beginning of Days,2.857142857142857
Of Aulë and Yavanna,2.6666666666666665
Of the Coming of the Elves and the Captivity of Melkor,2.2857142857142856
Of Thingol and Melian,4.0
Of Eldamar and the Princes of the Eldalië,2.0
Of Fëanor and the Unchaining of Melkor,2.6666666666666665
Of the Silmarils and the Unrest of the Noldor,1.6
Of the Darkening of Valinor,1.3333333333333333
Of the Flight of the Noldor,0.7272727272727273
Of the Sindar,2.4
Of the Sun and Moon and the Hiding of Valinor,2.0
Of Men,2.0
Of the Return of the Noldor,1.4
Of Beleriad and its Realms,4.0
Of the Noldor in Beleriad,1.5
Of Maeglin,1.7142857142857142
Of the Coming of Men into the West,2.0
Of the Ruin of Beleriad and the Fall of Fingolfin,0.9090909090909091
Of Beren and Lúthien,0.5
Of the Fifth Battle: Nirnaeth Arnoediad,0.24
Of Túrin Turambar,0.6666666666666666
Of the Ruin of Doriath,0.6666666666666666
Of Tuor and the Fall of Gondolin,0.5
Of the Voyage of Eärendil and the War of Wrath,1.1428571428571428
Akallabêth: The Downfall of Númenor,1.84375
Of the Rings of Power and the Third Age,1.84375
An Unexpected Party,2.2666666666666666
Roast Mutton,0.4444444444444444
A Short Rest,2.4
Over Hill and Under Hill,0.5714285714285714
Riddles In The Dark,0.0
Out Of The Frying-Pan Into The Fire,0.6666666666666666
Queer Lodgings,1.375
Flies And Spiders,0.3333333333333333
Barrels Out Of Bond,0.2
A Warm Welcome,0.2857142857142857
On The Doorstep,0.0
Inside Information,0.6153846153846154
Not At Home,0.0
Fire And Water,0.0
The Gathering Of The Clouds,1.0
A Thief In The Night,2.6666666666666665
The Clouds Burst,0.5714285714285714
The Return Journey,1.6
The Last Stage,1.6
Concerning Hobbits,2.0
Concerning Pipeweed,4.0
Of the Ordering of the Shire,0.0
Note on the Shire Records,1.0
A Long-expected Party,2.3333333333333335
The Shadow of the Past,1.4
Three is Company,1.1764705882352942
A Short Cut to Mushrooms,0.8
A Conspiracy Unmasked,2.0
The Old Forest,1.3333333333333333
In the House of Tom Bombadil,2.4
Fog on the Barrow-downs,0.6666666666666666
At the Sign of the Prancing Pony,2.3636363636363638
Strider,1.8
A Knife in the Dark,0.0
Flight to the Ford,0.125
Many Meetings,1.5
The Council of Elrond,0.896551724137931
The Ring goes South,1.4736842105263157
A Journey in the Dark,0.2857142857142857
The Bridge of Khazad-dûm,0.2222222222222222
Lothlórien,0.23529411764705882
The Mirror of Galadriel,0.6666666666666666
Farewell to Lórien,2.5454545454545454
The Great River,0.3076923076923077
The Breaking of the Fellowship,0.18181818181818182
The Departure of Boromir,0.0
The Riders of Rohan,0.7
The Uruk-hai,0.8571428571428571
Treebeard,2.347826086956522
The White Rider,0.5
The King of the Golden Hall,2.4705882352941178
Helm's Deep,0.5714285714285714
The Road to Isengard,1.5714285714285714
Flotsam and Jetsam,0.42857142857142855
The Voice of Saruman,1.8823529411764706
The Palantír,1.0
The Taming of Smeagol,0.8
The Passage of the Marshes,0.6153846153846154
The Black Gate is Closed,1.2
Of Herbs and Stewed Rabbit,1.8333333333333333
The Window of the West,1.3333333333333333
The Forbidden Pool,0.8888888888888888
Journey to the Cross-roads,0.5
The Stairs to Cirith Ungol,1.1666666666666667
Shelob's Lair,0.4444444444444444
The Choices of Master Samwise,0.8571428571428571
Minas Tirith,1.9130434782608696
The Passing of the Grey Company,0.6666666666666666
The Muster of Rohan,1.3333333333333333
The Siege of Gondor,0.7619047619047619
The Ride of Rohirrim,0.0
The Battle of the Pelennor Fields,0.0
The Pyre of Denethor,0.0
The Houses of Healing,2.0
The Last Debate,1.7777777777777777
The Black Gate Opens,0.0
The Tower of Cirith Ungol,0.47058823529411764
The Land of Shadow,0.13333333333333333
Mount Doom,0.0
The Field of Cormallen,2.0
The Steward and the King,2.4615384615384617
Many Partings,2.3076923076923075
Homeward Bound,1.4285714285714286
Scouring of the Shire,0.7
The Grey Havens,2.25
